name	numWords	numUniqWords	words
rostourizm	371	287	ростуризма, 10;руководителя, 6;ростуризм, 5;участие, 5;туристами, 5;рф, 4;ситуации, 4;россии, 3;совета, 3;принял, 3;туроператоров, 3;туристов, 3;дтп, 3;российских, 3;международной, 3;туризма, 3;российскими, 3;евгения, 2;заместитель, 2;писаревского, 2;туристской, 2;
Rostransnadzor	361	286	ространснадзор, 7;принял, 4;вагонов, 4;ространснадзора, 4;года, 4;деятельности, 3;нарушения, 3;состоялось, 3;детей, 3;выявлены, 3;результаты, 3;безопасности, 3;грузовых, 3;участие, 3;аэропорту, 3;комиссия, 3;службы, 3;транспорта, 3;автотранспорте, 2;пассажирском, 2;лицензируемом, 2;
RSGOV	22959	6223	рцнк, 1140;русского, 213;россии, 206;встреча, 174;языка, 174;концерт, 164;вечер, 159;выставка, 141;дня, 137;конференция, 133;россотрудничества, 127;российских, 121;праге, 119;открытие, 119;соотечественников, 114;отметили, 108;культуры, 107;посвященный, 106;программы, 105;фестиваль, 104;вене, 100;
rus_fas	22844	9065	фас, 231;спасибо, 177;можно, 158;жалобу, 154;вам, 134;вопрос, 128;уфас, 116;вас, 105;да, 96;обращения, 91;будет, 83;напишите, 81;может, 79;нужно, 75;жалобы, 75;пожалуйста, 67;конкуренции, 66;всё, 66;обратиться, 60;рынке, 57;сайте, 56;
ru_minfin	3274	1268	высказывания, 86;агентствам, 76;информационным, 75;кудрина, 75;рф, 69;кудрин, 51;лентах, 43;информагентств, 41;фонда, 35;заседании, 31;бюджета, 29;года, 25;россии, 24;итогам, 23;федерального, 22;финансов, 21;средств, 19;федерации, 19;нефть, 18;российской, 17;резервного, 17;
sk_ru	24129	8504	сколково, 1790;startuptour, 293;startupvillage, 181;spief2013, 155;россии, 114;фонда, 113;сегодня, 107;сколтех, 97;вексельберг, 94;конференции, 83;дмитрий, 81;https, 78;//t, 78;фонд, 77;виктор, 75;отус, 69;проект, 62;пекка, 62;медведев, 62;гиперкубе, 60;резидент, 59;
sledcom_rf	34598	4348	области, 1683;факту, 868;следственными, 580;уголовное, 507;дело, 504;возбуждено, 501;судом, 482;республике, 475;проверка, 474;проводится, 460;крае, 431;подозревается, 395;предстанет, 394;отношении, 365;житель, 330;органами, 326;совершении, 303;местный, 273;доследственная, 258;года, 247;полиции, 247;
Vitaliy_Mutko	1320	797	поздравляю, 37;мира, 16;вчера, 16;россии, 15;сегодня, 12;желаю, 12;спорта, 12;наших, 11;чемпионате, 11;побед, 10;сборную, 10;вопросы, 10;всех, 9;сборной, 9;буду, 8;нашу, 8;новых, 7;победой, 7;отвечать, 7;ваши, 6;нашей, 6;
VShport	18925	8252	сегодня, 363;края, 191;крае, 131;поздравляю, 103;хабаровске, 67;всех, 64;будем, 63;развития, 55;будет, 52;совещание, 45;днем, 44;лет, 42;амур, 42;край, 42;году, 42;всем, 42;утро, 41;заседание, 40;работы, 39;желаю, 38;праздником, 37;
Zhirinovskiy	27818	11152	лдпр, 758;сегодня, 429;россии, 170;завтра, 166;буду, 161;смотрите, 146;всех, 113;программе, 97;читайте, 82;будет, 81;участием, 74;москве, 74;моим, 73;тема, 72;эфире, 71;лет, 71;вчера, 67;днем, 63;сша, 62;телеканале, 60;поздравляю, 59;
